"","Name","n","MeanLeadTime","MeanGoal","MeanRevenue","MeanFundraising","MeanSelfDonnation","DistanceTraveled","FinanciallyCont","SelfDonated","Fundraised","ModifiedGoal","Onteam","UpdatedPersonalPage","SentEmails","CompletedReg","ProvidedParticipationReason","MeanTeamGoal","RepeatParticipant"
"730","1a49917d2648310c3270953a9168d9e94b70b59c",1,19.00138889,250,0,0,0,21.77971733,"No","No","No","No","Yes","No","No","No","Yes",0,"No"
"731","1a50a9805d4b2b10257546a3e2559df13a039e94",1,-1.882638889,0,0,0,0,10.37224343,"No","No","No","Yes","No","No","No","No","No",0,"No"
"732","1a51fd74dbab049274f291f4fa85b214817a6350",1,2.059027778,250,0,0,0,11.88395828,"No","No","No","No","Yes","No","No","No","No",0,"No"
"733","1a56b44b25d46d882e223aa7b15e83baf6c21216",1,32.50972222,100,0,0,0,6.970385226,"No","No","No","Yes","Yes","Yes","No","No","No",5000,"No"
"734","1a6c346eebf009cb669c67a6708b11c9ff5d2d25",1,-10.81944444,0,0,0,0,0,"No","No","No","Yes","No","No","No","No","No",0,"No"
"735","1a8e71521d2901d139b030f7c88e212b5e7f41ff",1,0.986111111,25,25,0,25,15.30163376,"Yes","Yes","No","Yes","No","No","No","No","No",0,"No"
"736","1a959542ac33ba1fa66dfb506ee40481dc13ccce",1,3.749305556,250,0,0,0,11.13263689,"No","No","No","No","Yes","No","No","No","No",0,"No"
"737","1a968a962d900b68ca614bff6ff2d154d624cd9b",1,26.73125,100,0,0,0,6.881975457,"No","No","No","Yes","Yes","No","No","No","No",500,"No"
"738","1a9b2d6672be6b2471a977de5ede4b3a5f27a843",1,-3.99375,0,0,0,0,9.763693758,"No","No","No","Yes","No","No","No","No","No",0,"No"
"739","1a9c5d8a3ce0498721a6ff68b8aa64b632d51c72",1,199.8020833,250,50,0,50,91.87337652,"Yes","Yes","No","No","Yes","No","No","No","No",10000,"No"
"740","1a9c80ca18393ac526b8a5b015e8d45accaa0b19",1,60.99513889,250,0,0,0,15.15726585,"No","No","No","No","Yes","No","No","No","No",0,"No"
"741","1a9e57d2cb24618c9a126cba243323c1658980e7",1,1.050694444,250,0,0,0,11.29466501,"No","No","No","No","Yes","No","No","No","No",0,"No"
"742","1a9ebb62bc79cd54764117bb283b89bf288c2fad",1,3.697916667,0,0,0,0,5.689563499,"No","No","No","Yes","No","No","No","No","No",0,"No"
"743","1abcb115a213d3a4b937afef3cc1f89e9c585180",1,39.77986111,0,0,0,0,17.33744562,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"744","1abe3a302963e2469b9c7897a8ce652692539911",1,-83.17569444,0,0,0,0,9.01364098,"No","No","No","Yes","No","No","No","No","No",0,"No"
"745","1ace7e85f4a1f68716f4a940887a10283342068b",1,7.334027778,0,0,0,0,13.54173945,"No","No","No","Yes","No","No","No","No","No",0,"No"
"746","1ad29db2521599fff67855efc2f7a351f682c8cc",2,111.84340275,100,37.5,0,37.5,11.46017147,"Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes",2600,"Yes"
"747","1ad501bf1d90a95f49e2e0ca48ce76d762c3ba01",1,8.159722222,250,30,20,10,24.84829748,"Yes","Yes","Yes","No","No","Yes","No","No","No",0,"No"
"748","1ae1d4db7c3861ac102d9597b92b7549ff26a2f7",1,32.3375,0,0,0,0,65.10439851,"No","No","No","Yes","Yes","No","No","No","No",500,"No"
"749","1ae25f46b2da85379f4a30276b6a8d4e327641f9",2,11.581944442,250,80,55,25,66.717142055,"Yes","No","No","No","Yes","Yes","No","No","No",250,"Yes"
