"Walk Name","Walk Zip","Zip","lng_start","lat_start","lng_end","lat_end","distance_metres","distance_miles","zip.range"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33510",-82.46,27.95,-82.3,27.96,15772.1790717971,9.80037468202161,"[0-50]"
"2017 Tampa Kidney Walk","33602","33716",-82.46,27.95,-82.64,27.87,19820.2035379778,12.3156996925968,"[0-50]"
"2017 Tampa Kidney Walk","33602","34461",-82.46,27.95,-82.5,28.8,94702.6379895938,58.8454728702319,"[51-100]"
"2017 Tampa Kidney Walk","33602","34461",-82.46,27.95,-82.5,28.8,94702.6379895938,58.8454728702319,"[51-100]"
"2017 Tampa Kidney Walk","33602","33572",-82.46,27.95,-82.4,27.77,20889.4883285796,12.9801222522178,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33572",-82.46,27.95,-82.4,27.77,20889.4883285796,12.9801222522178,"[0-50]"
"2017 Tampa Kidney Walk","33602","33558",-82.46,27.95,-82.51,28.16,23887.5640042925,14.8430395329112,"[0-50]"
"2017 Tampa Kidney Walk","33602","33606",-82.46,27.95,-82.46,27.93,2226.38981586542,1.38341406627411,"[0-50]"
"2017 Tampa Kidney Walk","33602","33606",-82.46,27.95,-82.46,27.93,2226.38981586542,1.38341406627411,"[0-50]"
"2017 Tampa Kidney Walk","33602","33898",-82.46,27.95,-81.4,27.8,105634.947947387,65.6384932410159,"[51-100]"
"2017 Tampa Kidney Walk","33602","33543",-82.46,27.95,-82.3,28.21,32934.0066435821,20.4642366421292,"[0-50]"
"2017 Tampa Kidney Walk","33602","33543",-82.46,27.95,-82.3,28.21,32934.0066435821,20.4642366421292,"[0-50]"
"2017 Tampa Kidney Walk","33602","34208",-82.46,27.95,-82.51,27.48,52551.6721220815,32.6540850581699,"[0-50]"
"2017 Tampa Kidney Walk","33602","34203",-82.46,27.95,-82.51,27.44,56986.4425921977,35.4097228199565,"[0-50]"
"2017 Tampa Kidney Walk","33602","34231",-82.46,27.95,-82.52,27.26,77038.1518708317,47.8692734661306,"[0-50]"
"2017 Tampa Kidney Walk","33602","33543",-82.46,27.95,-82.3,28.21,32934.0066435821,20.4642366421292,"[0-50]"
"2017 Tampa Kidney Walk","33602","33527",-82.46,27.95,-82.22,27.97,23702.9657007357,14.7283355004318,"[0-50]"
"2017 Tampa Kidney Walk","33602","33611",-82.46,27.95,-82.51,27.89,8294.52120785679,5.15397493744718,"[0-50]"
"2017 Tampa Kidney Walk","33602","34698",-82.46,27.95,-82.78,28.01,32159.6294355586,19.9830611020025,"[0-50]"
